id,course,section,text
COMPSCI 101 (F7W2-2022)_1,COMPSCI 101 (F7W2-2022),Introduction,"COMPSCI 101 Introduction to Computer Science Fall 2022 Dates / time: MTuWeThur 4:15 – 5:30 (lectures), Thur 10:00 – 11:15AM, 13:15 – 14:30 (labs) Academic credit: 4 Course format: lectures + labs Instructor’s information Name: Bing Luo Title: Assistant Professor in Data and Computational Science Email: bing.luo@dukekunshan.edu.cn What is this course about? Computer science (CS) is an exciting, growing and challenging field that impacts every part of our lives. As an introductory course for computer science, this course will not only provide fundamental knowledge of a variety of CS topics, but it will also provide essential computational problem-solving skills with hands on programming experience. This course is an elective course open to everyone, and no specific prerequisites are needed. Successfully completing this course will serve as a solid foundation for other courses in the computer science or data science majors. It can also bring new concepts and tools to other domains in the social sciences, arts, humanities and natural sciences. What background knowledge do I need before taking this course? No specific prerequisites. What will I learn in this course? Upon successful completion of this course, you should achieve competency in the following areas:  Grasp common computing and programming terms and concepts . Employ common programming patterns and abstractions to solve problems in Python  Formulate problems computationally and solve them through programming What will I do in this course? One of the primary goals of this course is for students to be able to write programs from scratch on their own. Especially for those students who have never programmed before, this goal should not be taken lightly. To achieve this, there will be lectures, labs, quiz, homework, mid-term and final exam, as shown below. Lectures You will have 4 lectures a week with Prof. Bing Luo. During the lectures, there will be PowerPoint presentations, mainly on programming principles and algorithms. Each lecture will be recorded and made available as soon as it is ready for those who have trouble with the synchronous lectures. To make your classroom more interactive, there may also be programming activities and Q&A sessions. Hence, you may want to bring your laptops to the lectures. Labs You will have one lab session a week with lab instructor. During the session, you will practice programming on the topics that are covered in the lectures. A short presentation or demonstration of coding might also be given by the instructor. You may seek assistances from the instructor if you encounter difficulties on the practice. Some lab sessions may involve group discussions and collaboration on a task. Homework/Quiz/Projects Homework will be assigned throughout the course. The homework normally has some programming tasks relevant to the contents covered in the lecture. Quizzes will be done during the lecture time. You will work on a few small (mini) projects through the session. More details about these assessments will be confirmed in due course. Note that though you can collaborate and help each, all assignments (quizzes, mini-projects) will be individually graded, so do NOT simply copy and paste (or only with minor modifications) someone else’s code. All work that you submit must be your own. Collaboration is encouraged but must be disclosed by all parties. Source codes found on the Web, if used, must be clearly attributed with a comment. Such code must not solve the core problem of the assignment. Mid-term The in-class test will be covering questions on what you have learnt during the first half of the session. It will mainly consist of multiple-choice questions, and likely some short questions as well. You will be briefed with details about the content and format prior to the test. If you study remotely, the test will be online. More details will be provided in due course. Final exam The exam will be mainly covering the topics you have learnt during the second half of the session, but it may involve the knowledges and questions from the first half. There will be both theoretical and programming questions. Special arrangements for remote students during COVID-19 Students remotely taking the class online are expected to watch lecture videos (PowerPoint presentations) afterwards in case you miss the live session. Our goal is to maintain an inclusive platform and environment for CS101 students. How can I prepare for the class sessions to be successful?  You are encouraged to actively interact with Prof. Bing Luo or TAs during the lectures and labs.  Prof. Bing Luo or TAs will set up office hours, during which you are encouraged to stop them for assistance, before and/or after lectures or labs.  If you demonstrate excellent interaction and active involvement in lectures, lab sessions and peer learning assistance, you will be prioritized to be considered for future peer tutor and/or student teaching/research assistant positions for this and related courses. What required texts, materials, and equipment will I need?  Introduction to Computation and Programming Using Python: With Application to Understanding Data, Second edition, by John V. Guttag, ISBN-13: 978-0262529624 What optional texts or resources might be helpful? Besides the textbook listed above, there is a free online course offered by the author of the textbook and is available at https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-0001-introduction-to- computer-science-and-programming-in-python-fall-2016/ Recommended online resource for python programming include:  Python for everybody, Exploring Data Using Python 3, Charles R. Severance, free open book at https://www.py4e.com/  A Byte of Python - free book on programming using the Python language: https://python.swaroopch.com/ How will my grade be determined? The letter grade upgrade described as follows: A+= 98% - 100% A = 97% - 93%; A- = 90% - 92%; B+ = 87% - 89%; B = 83% - 86%; B- = 80% - 82%; C+ = 77% - 79%; C = 73% - 76%; C- = 70% - 72%; D+ = 67% - 69%; D = 63% - 66%; D- = 60% - 62% F = 59% and below. A student’s final grade will be determined from the following weighting: Homework 20% Quizzes 15% Mini projects 20% Midterm 15% Final exam 30% What are the course policies? Communications: For any questions regarding the course, you are free to send an email to Bing Luo (bing.luo@dukekunshan.edu.cn). There will be daily office hours from Bing Luo and other TAs. Student participation in forum discussions will be considered when applying for peer tutor and student worker positions. Due date will be adjusted to the student's time zone location to accommodate students who are remotely taking the course. Discussion Guidelines: Civility is an essential ingredient for academic discourse. All communications for this course should be conducted constructively, civilly, and respectfully. Differences in beliefs, opinions, and approaches are to be expected. Please bring any communications you believe to be in violation of this class policy to the attention of your instructor. Active interaction with peers and your instructor is essential to success in this course, paying particular attention to the following:  Be respectful of others and their opinions, valuing diversity in backgrounds, abilities, and experiences.  Challenging the ideas held by others is an integral aspect of critical thinking and the academic process. Please word your responses carefully, and recognize that others are expected to challenge your ideas. A positive atmosphere of healthy debate is encouraged.  Read your online discussion posts carefully before submitting them. Academic Integrity: As a student, you should abide by the academic honesty standard of the Duke Kunshan University. Its Community Standard states: “Duke Kunshan University is a community comprised of individuals from diverse cultures and backgrounds. We are dedicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non-academic endeavors, and to protecting and promoting a culture of integrity and trust.” For all graded work, students should pledge that they have neither given nor received any unacknowledged aid. Note that you are encouraged to collaborate with your classmates, such as discussion of course content at high level, talking about hints or debugging, problem-solving strategies. However, you must do all coding and write- ups on your own, which will test and demonstrate your mastery of course material. More specifically, you should NOT do the following:  Look at another student’s solutions.  Use solutions to same or similar problems found online or elsewhere.  Search for homework solutions online.  Turn in any part of someone else's work as your own.  Share your code or written solutions with another student or online.  Allow someone else to turn in your work as their own.  Write homework assignments together unless it is specified as a group assignment.  Collaborate with anyone outside your group for a group assignment. Academic Policy & Procedures: You are responsible for knowing and adhering to academic policy and procedures as published in University Bulletin and Student Handbook. Please note, an incident of behavioral infraction or academic dishonesty (cheating on a test, plagiarizing, etc.) will result in immediate action from me, in consultation with university administration (e.g., Dean of Undergraduate Studies, Student Conduct, Academic Advising). Please visit the Undergraduate Studies website for additional guidance related to academic policy and procedures. Academic integrity is everyone’s responsibility. Academic Disruptive Behavior and Community Standard: Please avoid all forms of disruptive behavior, including but not limited to: verbal or physical threats, repeated obscenities, unreasonable interference with class discussion, making/receiving personal phone calls, text messages or pages during class, excessive tardiness, leaving and entering class frequently without notice of illness or other extenuating circumstances, and persisting in disruptive personal conversations with other class members. Please turn off phones, pagers, etc. during class unless instructed otherwise. Laptop computers may be used for class activities allowed by the instructor during synchronous sessions. If you choose not to adhere to these standards, I will take action in consultation with university administration (e.g., Dean of Undergraduate Studies, Student Conduct, Academic Advising). Academic Accommodations: If you need to request accommodation for a disability, you need a signed accommodation plan from Campus Health Services, and you need to provide a copy of that plan to me. Visit the Office of Student Affairs website for additional information and instruction related to accommodations. What campus resources can help me during this course? Academic Advising and Student Support Please consult with me about appropriate course preparation and readiness strategies, as needed. Consult your academic advisors on course performance (i.e., poor grades) and academic decisions (e.g., course changes, incompletes, withdrawals) to ensure you stay on track with degree and graduation requirements. In addition to advisors, staff in the Academic Resource Center can provide recommendations on academic success strategies (e.g., tutoring, coaching, student learning preferences). All ARC services will continue to be provided online. Please visit the Office of Undergraduate Advising website for additional information related to academic advising and student support services. Writing and Language Studio For additional help with academic writing—and more generally with language learning—you are welcome to make an appointment with the Writing and Language Studio (WLS). To accommodate students who are learning remotely as well as those who are on campus, writing and language coaching appointments are available in person and online. You can register for an account, make an appointment, and learn more about WLS services, policies, and events on the WLS website. You can also find writing and language learning resources on the Writing & Language Studio Sakai site. IT Support If you are experiencing technical difficulties, please contact IT:  China-based faculty/staff/students 400-816-7100, (+86) 0512- 3665-7100  US-based faculty/staff/students (+1) 919-660-1810  International-based faculty/staff/students can use either telephone option (recommend using tools like Skype calling)  Live Chat: https://oit.duke.edu/help  Email: service-desk@dukekunshan.edu.cn Teaching schedule (tentative) Week Class topics In-class activities Assignments"
COMPSCI 101 (F7W2-2022)_2,COMPSCI 101 (F7W2-2022),Week 1,Course introduction Lectures Homework Computer Science basic knowledge
COMPSCI 101 (F7W2-2022)_3,COMPSCI 101 (F7W2-2022),Week 2,"Python Programming Basics – part one (Looping Lectures, practice and quiz Homework and branch, etc) Mini project #1"
COMPSCI 101 (F7W2-2022)_4,COMPSCI 101 (F7W2-2022),Week 3,"Python Programming Basics – part two (Function, Lectures, practice and quiz Homework recurring, etc.) Mini projects #2"
COMPSCI 101 (F7W2-2022)_5,COMPSCI 101 (F7W2-2022),Week 4,"Python Programming Basics – part three Lectures, practice and quiz Homework (Structured data type, Higher-order function, etc) Midterm Revision for midterm"
COMPSCI 101 (F7W2-2022)_6,COMPSCI 101 (F7W2-2022),Week 5,"Testing debugging, exception, Object-oriented Lectures, practice and quiz Homework programming Mini projects #3"
COMPSCI 101 (F7W2-2022)_7,COMPSCI 101 (F7W2-2022),Week 6,"Binary Tree, Computational complexity Lectures, practice and quiz Homework Mini projects #4"
COMPSCI 101 (F7W2-2022)_8,COMPSCI 101 (F7W2-2022),Week 7,"Searching and sorting, plotting, Revision for final Lectures, practice Homework exam"
COMPSCI 101 (S7W1-2021)_1,COMPSCI 101 (S7W1-2021),Introduction,"COMPSCI 101 Introduction to Computer Science Session 3, 2021 Spring Dates / course meeting time: Lecture (MTWTh 10:00 – 11:15 am), Lab (Th 1:15 – 2:30 pm, 4:15 – 5:30 pm) Academic credit: 4 DKU Credits Course format: Lecture + Lab Office hours: TTh 11:30 am – 12:30 pm Course Cloud: https://jp02.dukekunshan.edu.cn Sakai Forum hours: TWThFS 5:00 pm Zoom: https://duke.zoom.us/j/8086381187 Instructor’s information Name: Daniel Lim Title: Associate Professor, Philosophy, Duke Kunshan University Email: daniel.lim672@dukekunshan.edu.cn Website: https://scholars.duke.edu/person/Daniel.Lim Bio: Daniel Lim received his B.A. in computer science from the University of California, Berkeley (1998) and his M.S. in computer science from the University of California, Davis (2003). After working as a database programmer for several years he switched gears and went into philosophy. He received his M.A. in philosophy of religion at Biola University (2006) and his MPhil / Ph.D. in philosophy of mind from Cambridge University (2011). He taught philosophy at Renmin University in Beijing, China before coming to Duke Kunshan University in 2018. He continues to co-direct the Center for Analytic Philosophy at Renmin University and is overseeing a grant housed there on the Social, Psychological, and Philosophical Implications of AI (2018-2021). What is this course about? Computer science (CS) is an exciting, growing and challenging field that impacts every part of our lives. As an introductory course for computer science, this course will not only provide fundamental knowledge of a variety of CS topics, but it will also provide essential computational problem-solving skills with hands on programming experience. This course is an elective course open to everyone, and no specific prerequisites are needed. Successfully completing this course will serve as a solid foundation for other courses in the computer science or data science majors. It can also bring new concepts and tools to other domains in the social sciences, arts, humanities and natural sciences. We also want you to develop high level skills aligned with DKU’s animating principles: collaborative problem-solving, research and practice, lucid communication, etc. In this course, there is a final group project that encourages collaborative problem-solving. Each week there will also be recitation/lab sessions to encourage group discussion. What background knowledge do I need before taking this course? There are no prerequisites for this course. What will I learn in this course? By the end of this course, you will be able to:  Deploy solid Python programming techniques  Use simple algorithms, data structures, and the notion of complexity  Apply the skills of object-oriented programming and debugging to solve computational problems  Formulate problems computationally  Plan and manage the progress of a programming project in an efficient way  Develop written and oral presentation skills What will I do in this course? Activities: There will be 4 lectures each week: Monday, Tuesday, Wednesday and Thursday. Each lecture session is 75 minutes long and will include a variety of exercises to accompany the lecture. Each lecture will be recorded and made available as soon as it is ready for those who have trouble with the synchronous lectures. After the first two lectures, each lecture will begin with a daily quiz on previously covered material. After each lecture from weeks 1 to 6, there will be a daily programming assignment that is based on the day’s lecture that are due 24 hours after it is released after lecture. Though you can work together, all assignments will be individually graded. Working together, however, does NOT mean simply sharing code. Though you can discuss strategies, you can simply copy and paste (with minor modifications) someone else’s code. There will be an online programming cloud system to release, collect and automatically (or manually) grade programming assignments, in-class quizzes and mini-projects. There are recitation/lab sessions to review the contents taught during the week and to provide practical insights into programming. From weeks 1 to 5, there will be weekly mini-project released every Thursday and due the following Monday before class. Weekly mini-projects are individual assignments; you should submit your own solution. Starting from"
COMPSCI 101 (S7W1-2021)_2,COMPSCI 101 (S7W1-2021),week 6,", there will not be any more weekly mini-projects. Starting from"
